18        ; Number of general header lines after this line
v1.0      ; TOLNet standardized format version for profile data
15        ; Number of profiles in this file
14        ; Number of data columns for all profiles
ALT, m, Altitude above sea level (center of sampling bin)                 ; Column 1
O3ND, molec.m-3, Ozone number density (measured)                          ; Column 2
O3NDUncert, molec.m-3, Ozone number density combined standard uncertainty ; Column 3
O3NDResol, m, Ozone number density standardized vertical resolution ; Column 4
Precision, %, Measurement precision                                       ; Column 5
ChRange, #, Channel range (1.0 to N.0, nearest-field to farthest-field)   ; Column 6
O3MR, ppbv, Ozone mixing ratio (derived)                                  ; Column 7
O3MRUncert, ppbv, Ozone mixing ratio combined standard uncertainty        ; Column 8
Press, hPa, Air pressure used to derive ozone mixing ratio                ; Column 9
PressUncert, hPa, Air pressure standard uncertainty                       ; Column 10
Temp, K, Air temperature used to derive ozone mixing ratio                ; Column 11
TempUncert, K, air temperature ratio standard uncertainty                 ; Column 12
AirND, molec.m-3, air number density used to derive ozone mixing ratio    ; Column 13
AirNDUncert, molec.m-3, Air number density standard uncertainty           ; Column 14
-9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999 ; Missing data values
5                                                           ; Number of general comments lines
NASA LaRC Mobile Ozone Lidar                                ; INSTRUMENT NAME
REDACTED REDACTED, NASA LaRC, REDACTED@REDACTED.COM         ; PI AND CONTACT INFO
JPL-TTM                                                     ; SITE NAME
-117.68300, 34.38330, 2285.00                               ; SITE LONGITUDE, LATITUDE, ELEVATION (degE, degN, m) 
R0                                                          ; DATA REVISION # (if value >0 then provide text below)
#BEGIN PROFILE ;-------------------------------------------------------------------------------------------
13                                      ; Number of data header lines
667                                     ; NUMBER OF DATA LINES IN THIS PROFILE
2017-05-05, 19:37:29                    ; DATA PROCESSING DATE, TIME
LMOLparallel, O3 DIAL, 2016 Oct 17, (Contact G. Redacted Redacted.P.Redacted@Redacted.com); DATA PROCESSING VERSION
NOMINAL                                 ; RESULTS QUALITY (NOMINAL, FAIR, POOR)
2016-08-16, 19:31:50                    ; PROFILE DATE, TIME (UT) START
2016-08-16, 19:41:50                    ; PROFILE DATE, TIME (UT) END
2016-08-16, 19:36:50                    ; PROFILE DATE, TIME (UT) MEAN
Standard atmosphere monthly averaged number densities; SOURCE OF A PRIORI Press, Temp, AirND USED TO DERIVE OZONE MIXING RATIO
2017-05-05, 19:37:29                    ; SOURCE DATE, TIME (UT)
-117.68300, 34.38330, 2285.00           ; SOURCE LONGITUDE, LATITUDE, ELEVATION (degE, degN, m)
Please check the README file for additional comments and external data acknowledgement.; OPERATOR COMMENTS
Contact Operator for further detail on processing and data quality.; OPERATOR COMMENTS
ALT, O3ND, O3NDUncert, O3NDResol, Precision, ChRange, O3MR, O3MRUncert, Press, PressUncert, Temp, TempUncert, AirND, AirNDUncert ; Data variables short names for easy visual identification of data columns (separated by commas)
2292.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.782e+02, 3.891e+01, 2.942e+02, 1.471e+01, 1.916e+25, 9.578e+23,
2307.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.768e+02, 3.884e+01, 2.941e+02, 1.470e+01, 1.913e+25, 9.566e+23,
2322.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.755e+02, 3.877e+01, 2.939e+02, 1.470e+01, 1.911e+25, 9.554e+23,
2337.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.741e+02, 3.870e+01, 2.938e+02, 1.469e+01, 1.908e+25, 9.542e+23,
2352.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.727e+02, 3.864e+01, 2.936e+02, 1.468e+01, 1.906e+25, 9.530e+23,
2367.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.714e+02, 3.857e+01, 2.935e+02, 1.467e+01, 1.904e+25, 9.518e+23,
2382.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.700e+02, 3.850e+01, 2.933e+02, 1.467e+01, 1.901e+25, 9.507e+23,
2397.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.687e+02, 3.843e+01, 2.932e+02, 1.466e+01, 1.899e+25, 9.495e+23,
2412.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.673e+02, 3.837e+01, 2.930e+02, 1.465e+01, 1.897e+25, 9.483e+23,
2427.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.660e+02, 3.830e+01, 2.929e+02, 1.464e+01, 1.894e+25, 9.471e+23,
2442.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.646e+02, 3.823e+01, 2.927e+02, 1.464e+01, 1.892e+25, 9.459e+23,
2457.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.633e+02, 3.816e+01, 2.926e+02, 1.463e+01, 1.889e+25, 9.447e+23,
2472.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.620e+02, 3.810e+01, 2.924e+02, 1.462e+01, 1.887e+25, 9.436e+23,
2487.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.606e+02, 3.803e+01, 2.923e+02, 1.461e+01, 1.885e+25, 9.424e+23,
2502.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.593e+02, 3.797e+01, 2.921e+02, 1.461e+01, 1.882e+25, 9.412e+23,
2517.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.580e+02, 3.790e+01, 2.920e+02, 1.460e+01, 1.880e+25, 9.400e+23,
2532.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.567e+02, 3.783e+01, 2.919e+02, 1.459e+01, 1.878e+25, 9.388e+23,
2547.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.554e+02, 3.777e+01, 2.917e+02, 1.459e+01, 1.875e+25, 9.377e+23,
2562.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.540e+02, 3.770e+01, 2.916e+02, 1.458e+01, 1.873e+25, 9.365e+23,
2577.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.527e+02, 3.764e+01, 2.914e+02, 1.457e+01, 1.871e+25, 9.353e+23,
2592.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.514e+02, 3.757e+01, 2.913e+02, 1.456e+01, 1.868e+25, 9.341e+23,
2607.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.501e+02, 3.750e+01, 2.911e+02, 1.456e+01, 1.866e+25, 9.329e+23,
2622.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.488e+02, 3.744e+01, 2.910e+02, 1.455e+01, 1.864e+25, 9.318e+23,
2637.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.475e+02, 3.737e+01, 2.908e+02, 1.454e+01, 1.861e+25, 9.306e+23,
2652.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.461e+02, 3.731e+01, 2.907e+02, 1.454e+01, 1.859e+25, 9.294e+23,
2667.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.448e+02, 3.724e+01, 2.906e+02, 1.453e+01, 1.856e+25, 9.282e+23,
2682.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.435e+02, 3.717e+01, 2.904e+02, 1.452e+01, 1.854e+25, 9.270e+23,
2697.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.422e+02, 3.711e+01, 2.903e+02, 1.451e+01, 1.852e+25, 9.259e+23,
2712.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.409e+02, 3.704e+01, 2.901e+02, 1.451e+01, 1.849e+25, 9.247e+23,
2727.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.395e+02, 3.698e+01, 2.900e+02, 1.450e+01, 1.847e+25, 9.235e+23,
